Whether_of_not_the_TA_is_a_native_English_speaker,Course_intructor,Course,Summer_or_regular_semester,Class_size,Class_attribute
non-English speaker,cat-18,cat-5,Regular,0.17543859649122806,Low
non-English speaker,cat-13,cat-1,Regular,0.38596491228070173,Low
English speaker,cat-13,cat-3,Summer,0.07017543859649122,Low
non-English speaker,cat-5,cat-2,Regular,0.49122807017543857,Low
non-English speaker,cat-16,cat-8,Regular,0.47368421052631576,Low
non-English speaker,cat-4,cat-16,Regular,0.21052631578947367,Low
non-English speaker,cat-5,cat-2,Regular,0.6842105263157895,Low
non-English speaker,cat-14,cat-15,Regular,0.5087719298245614,Low
English speaker,cat-23,cat-3,Summer,0.17543859649122806,High
non-English speaker,cat-15,cat-3,Summer,0.14035087719298245,High
English speaker,cat-23,cat-3,Regular,0.7017543859649122,High
English speaker,cat-5,cat-2,Regular,0.42105263157894735,High
non-English speaker,cat-7,cat-11,Regular,0.8070175438596491,High
non-English speaker,cat-23,cat-3,Summer,0.19298245614035087,High
non-English speaker,cat-9,cat-5,Regular,0.17543859649122806,High
non-English speaker,cat-10,cat-3,Regular,0.3157894736842105,High
English speaker,cat-22,cat-3,Regular,0.8596491228070176,High
non-English speaker,cat-15,cat-3,Summer,0.19298245614035087,High
non-English speaker,cat-10,cat-22,Regular,0.0,High
non-English speaker,cat-16,cat-8,Regular,0.47368421052631576,Low
non-English speaker,cat-4,cat-16,Regular,0.21052631578947367,Low
non-English speaker,cat-5,cat-2,Regular,0.6842105263157895,Low
non-English speaker,cat-14,cat-15,Regular,0.5087719298245614,Low
English speaker,cat-23,cat-3,Summer,0.2807017543859649,High
English speaker,cat-13,cat-3,Summer,0.14035087719298245,High
non-English speaker,cat-16,cat-19,Regular,0.03508771929824561,High
non-English speaker,cat-9,cat-2,Regular,0.5263157894736842,High
non-English speaker,cat-13,cat-3,Summer,0.03508771929824561,High
non-English speaker,cat-18,cat-21,Regular,0.17543859649122806,High
English speaker,cat-22,cat-3,Regular,0.631578947368421,High
non-English speaker,cat-7,cat-11,Summer,0.19298245614035087,High
non-English speaker,cat-23,cat-3,Summer,0.19298245614035087,High
English speaker,cat-23,cat-3,Summer,0.19298245614035087,High
English speaker,cat-23,cat-3,Regular,0.5087719298245614,High
non-English speaker,cat-14,cat-22,Regular,0.14035087719298245,High
English speaker,cat-17,cat-17,Regular,0.17543859649122806,High
non-English speaker,cat-9,cat-5,Regular,0.2631578947368421,High
non-English speaker,cat-18,cat-25,Regular,0.2807017543859649,High
English speaker,cat-17,cat-17,Regular,0.38596491228070173,High
non-English speaker,cat-1,cat-15,Regular,0.38596491228070173,High
non-English speaker,cat-1,cat-8,Regular,0.15789473684210525,Medium
English speaker,cat-11,cat-16,Regular,0.22807017543859648,Medium
English speaker,cat-22,cat-13,Regular,0.3157894736842105,Medium
non-English speaker,cat-9,cat-2,Regular,0.08771929824561403,Medium
non-English speaker,cat-13,cat-1,Regular,0.19298245614035087,Medium
English speaker,cat-6,cat-17,Regular,0.45614035087719296,Medium
non-English speaker,cat-23,cat-3,Summer,0.19298245614035087,Medium
English speaker,cat-23,cat-3,Summer,0.19298245614035087,Medium
non-English speaker,cat-6,cat-17,Regular,0.49122807017543857,Medium
English speaker,cat-22,cat-3,Regular,0.10526315789473684,Medium
non-English speaker,cat-20,cat-2,Regular,0.2807017543859649,Medium
non-English speaker,cat-23,cat-3,Regular,0.017543859649122806,Medium
non-English speaker,cat-20,cat-2,Regular,0.08771929824561403,Low
English speaker,cat-23,cat-3,Regular,0.5087719298245614,Low
non-English speaker,cat-13,cat-1,Regular,0.3508771929824561,Low
non-English speaker,cat-10,cat-3,Regular,0.17543859649122806,Low
non-English speaker,cat-7,cat-11,Regular,0.3684210526315789,Low
English speaker,cat-14,cat-15,Regular,0.40350877192982454,Low
non-English speaker,cat-8,cat-3,Regular,0.3157894736842105,Low
non-English speaker,cat-12,cat-7,Regular,0.43859649122807015,Low
non-English speaker,cat-8,cat-7,Regular,0.24561403508771928,Low
non-English speaker,cat-15,cat-1,Regular,1.0,Low
non-English speaker,cat-7,cat-11,Regular,0.3684210526315789,Low
non-English speaker,cat-10,cat-3,Regular,0.17543859649122806,Low
non-English speaker,cat-23,cat-3,Regular,0.03508771929824561,Low
non-English speaker,cat-17,cat-18,Regular,0.3508771929824561,Low
non-English speaker,cat-16,cat-20,Regular,0.10526315789473684,Low
non-English speaker,cat-3,cat-2,Regular,0.49122807017543857,Low
non-English speaker,cat-19,cat-4,Regular,0.017543859649122806,Low
